"V1","V2","V3"
"Breton","Celtic",13
"Breton","Church Slavonic",59
"Breton","Cornish",3
"Breton","Danish",173
"Breton","Delaware",35
"Breton","Dutch",1376
"Breton","Flemish",38
"Breton","French",107
"Breton","Frisian",244
"Breton","Ga",38
"Breton","Gaelic",21
"Breton","German",1479
"Breton","Germanic",1464
"Breton","Gothic",231
"Breton","Greek",188
"Breton","Haitian",2
"Breton","Hebrew",24
"Breton","Hittite",128
"Breton","Icelandic",18
"Breton","Indo-European",16
"Breton","Irish",233
"Breton","Italian",15
"Breton","Latin",295
"Breton","Lithuanian",176
"Breton","Low German",5
"Breton","Manx",5
"Breton","Middle Dutch",1371
"Breton","Middle English",129
"Breton","Middle High German",106
"Breton","Middle Irish",16
"Breton","Old Church Slavonic",59
"Breton","Old English",1495
"Breton","Old French",72
"Breton","Old High German",1448
"Breton","Old Irish",174
"Breton","Old Norse",295
"Breton","Polish",14
"Breton","Portuguese",15
"Breton","Russian",3
"Breton","Sanskrit",147
"Breton","Spanish",20
"Breton","Swedish",67
"Breton","Tai",2
"Breton","Welsh",182
"Carib","Dutch",2
"Carib","French",2
"Carib","German",4
"Carib","Germanic",2
"Carib","Greek",3
"Carib","Haitian",2
"Carib","Latin",3
"Carib","Middle Dutch",2
"Carib","Middle English",1
"Carib","Old English",3
"Carib","Old High German",2
"Carib","Old Norse",2
"Carib","Portuguese",2
"Carib","Russian",2
"Carib","Slavic",2
"Carib","Spanish",2
"Carib","Tai",2
"Catalan","Church Slavonic",186
"Catalan","Danish",337
"Catalan","Dutch",389
"Catalan","French",801
"Catalan","Ga",190
"Catalan","German",602
"Catalan","Germanic",265
"Catalan","Gothic",21
"Catalan","Greek",521
"Catalan","Icelandic",186
"Catalan","Indo-European",192
"Catalan","Italian",801
"Catalan","Japanese",2
"Catalan","Latin",778
"Catalan","Lithuanian",186
"Catalan","Middle Dutch",335
"Catalan","Middle English",191
"Catalan","Norwegian",335
"Catalan","Occitan",6
"Catalan","Old Church Slavonic",186
"Catalan","Old English",521
"Catalan","Old French",748
"Catalan","Old High German",2
"Catalan","Old Norse",186
"Catalan","Persian",5
"Catalan","Portuguese",376
"Catalan","Provençal",67
"Catalan","Russian",186
"Catalan","Spanish",793
"Catalan","Swedish",23
"Celtic","Church Slavonic",279
"Celtic","Coptic",2
"Celtic","Cornish",143
"Celtic","Croatian",3
"Celtic","Danish",214
"Celtic","Dutch",1266
"Celtic","Egyptian",2
"Celtic","French",479
"Celtic","Frisian",1158
"Celtic","Ga",622
"Celtic","Gaelic",52
"Celtic","German",1424
"Celtic","Germanic",1392
"Celtic","Gothic",732
"Celtic","Greek",109
"Celtic","Hebrew",21
"Celtic","Hungarian",3
"Celtic","Indo-European",63
"Celtic","Irish",784
"Celtic","Italian",135
"Celtic","Latin",592
"Celtic","Latvian",64
"Celtic","Lithuanian",269
"Celtic","Low German",71
"Celtic","Manx",5
"Celtic","Middle Dutch",1210
"Celtic","Middle English",956
"Celtic","Middle High German",132
"Celtic","Middle Irish",119
"Celtic","Norwegian",4
"Celtic","Old Church Slavonic",279
"Celtic","Old English",1427
"Celtic","Old French",321
"Celtic","Old High German",1251
"Celtic","Old Irish",711
"Celtic","Old Norse",976
"Celtic","Old Provençal",4
"Celtic","Polish",269
"Celtic","Portuguese",18
"Celtic","Provençal",6
"Celtic","Romance",87
"Celtic","Russian",266
"Celtic","Sanskrit",87
"Celtic","Slavic",337
"Celtic","Spanish",82
"Celtic","Swedish",196
"Celtic","Welsh",437
"Chinese","Church Slavonic",58
"Chinese","Dutch",675
"Chinese","French",523
"Chinese","Frisian",972
"Chinese","German",1096
"Chinese","Germanic",1036
"Chinese","Gothic",972
"Chinese","Greek",1174
"Chinese","Indo-European",423
"Chinese","Italian",375
"Chinese","Japanese",6
"Chinese","Korean",52
"Chinese","Latin",1118
"Chinese","Lithuanian",377
"Chinese","Malay",8
"Chinese","Manchu",4
"Chinese","Mandar",8
"Chinese","Middle Dutch",663
"Chinese","Middle English",431
"Chinese","Mongo",4
"Chinese","Mongolian",4
"Chinese","Nahuatl",52
"Chinese","Old Church Slavonic",58
"Chinese","Old English",1497
"Chinese","Old French",515
"Chinese","Old High German",1032
"Chinese","Old Norse",982
"Chinese","Old Persian",657
"Chinese","Persian",665
"Chinese","Portuguese",8
"Chinese","Russian",62
"Chinese","Sanskrit",605
"Chinese","Slavic",4
"Chinese","Spanish",12
"Chinese","Turkish",8
"Church Slavonic","Cornish",119
"Church Slavonic","Croatian",107
"Church Slavonic","Czech",24
"Church Slavonic","Danish",11646
"Church Slavonic","Delaware",35
"Church Slavonic","Dutch",29872
"Church Slavonic","Egyptian",26
"Church Slavonic","Estonian",2
"Church Slavonic","Finnish",1190
"Church Slavonic","Flemish",14
"Church Slavonic","French",4849
"Church Slavonic","Frisian",23539
"Church Slavonic","Ga",40
"Church Slavonic","Gaelic",2
"Church Slavonic","German",50564
"Church Slavonic","Germanic",50418
"Church Slavonic","Gothic",19777
"Church Slavonic","Greek",33096
"Church Slavonic","Hebrew",87
"Church Slavonic","Hittite",11187
"Church Slavonic","Icelandic",337
"Church Slavonic","Indo-European",1189
"Church Slavonic","Iranian",7
"Church Slavonic","Irish",33071
"Church Slavonic","Italian",388
"Church Slavonic","Korean",52
"Church Slavonic","Kru",1
"Church Slavonic","Latin",41836
"Church Slavonic","Lithuanian",42595
"Church Slavonic","Low German",355
"Church Slavonic","Manchu",4
"Church Slavonic","Middle Dutch",11271
"Church Slavonic","Middle English",37262
"Church Slavonic","Middle High German",367
"Church Slavonic","Middle Irish",248
"Church Slavonic","Mongo",4
"Church Slavonic","Mongolian",4
"Church Slavonic","Nahuatl",52
"Church Slavonic","Norwegian",156
"Church Slavonic","Old Church Slavonic",50717
"Church Slavonic","Old English",50591
"Church Slavonic","Old French",477
"Church Slavonic","Old High German",41100
"Church Slavonic","Old Irish",32569
"Church Slavonic","Old Norse",21114
"Church Slavonic","Old Persian",6745
"Church Slavonic","Ossetian",10
"Church Slavonic","Persian",6908
"Church Slavonic","Polish",429
"Church Slavonic","Portuguese",186
"Church Slavonic","Russian",22634
"Church Slavonic","Sanskrit",14843
"Church Slavonic","Slavic",933
"Church Slavonic","Spanish",496
"Church Slavonic","Swedish",1774
"Church Slavonic","Welsh",2530
"Coptic","Dutch",16
"Coptic","Egyptian",3
"Coptic","French",19
"Coptic","German",16
"Coptic","Greek",18
"Coptic","Hebrew",16
"Coptic","Italian",16
"Coptic","Latin",19
"Coptic","Old English",17
"Coptic","Old French",18
"Coptic","Old Provençal",2
"Coptic","Phoenician",1
"Coptic","Polish",16
"Coptic","Provençal",2
"Coptic","Russian",16
"Coptic","Spanish",17
"Coptic","Swedish",16
"Cornish","Dutch",119
"Cornish","French",23
"Cornish","Frisian",119
"Cornish","Ga",3
"Cornish","German",119
"Cornish","Germanic",119
"Cornish","Gothic",119
"Cornish","Irish",138
"Cornish","Italian",18
"Cornish","Latin",19
"Cornish","Lithuanian",119
"Cornish","Middle Dutch",119
"Cornish","Middle English",122
"Cornish","Old Church Slavonic",119
"Cornish","Old English",137
"Cornish","Old French",5
"Cornish","Old High German",119
"Cornish","Old Irish",120
"Cornish","Old Norse",119
"Cornish","Polish",119
"Cornish","Russian",119
"Cornish","Slavic",119
"Cornish","Welsh",6
"Cree","French",18
"Cree","Greek",4
"Cree","Latin",4
"Cree","Middle English",15
"Cree","Old French",3
"Cree","Somali",10
"Croatian","Czech",1
"Croatian","Danish",62
"Croatian","Dutch",80
"Croatian","French",72
"Croatian","Frisian",45
"Croatian","Ga",3
"Croatian","Gaelic",3
"Croatian","German",117
"Croatian","Germanic",85
"Croatian","Gothic",4
"Croatian","Greek",120
"Croatian","Hungarian",9
"Croatian","Indo-European",36
"Croatian","Iranian",6
"Croatian","Irish",51
"Croatian","Italian",35
"Croatian","Latin",145
"Croatian","Latvian",1
"Croatian","Lithuanian",54
"Croatian","Middle Dutch",45
"Croatian","Middle English",36
"Croatian","Old Church Slavonic",107
"Croatian","Old English",120
"Croatian","Old French",30
"Croatian","Old High German",45
"Croatian","Old Norse",46
"Croatian","Old Persian",6
"Croatian","Persian",6
"Croatian","Polish",90
"Croatian","Russian",36
"Croatian","Sanskrit",62
"Croatian","Slavic",108
"Croatian","Spanish",71
"Croatian","Swedish",6
"Croatian","Turkish",6
"Croatian","Welsh",12
"Czech","Dutch",92
"Czech","French",2
"Czech","Frisian",74
"Czech","German",93
"Czech","Germanic",93
"Czech","Gothic",75
"Czech","Greek",84
"Czech","Indo-European",19
"Czech","Irish",63
"Czech","Latin",34
"Czech","Latvian",51
"Czech","Lithuanian",100
"Czech","Middle English",23
"Czech","Middle High German",18
"Czech","Old Church Slavonic",24
"Czech","Old English",93
"Czech","Old French",2
"Czech","Old High German",74
"Czech","Old Irish",50
"Czech","Old Norse",75
"Czech","Polish",37
"Czech","Russian",93
"Czech","Sanskrit",13
"Czech","Slavic",20
"Czech","Welsh",14
"Danish","Dutch",31213
"Danish","Finnish",793
"Danish","Flemish",4
"Danish","French",2774
"Danish","Frisian",30099
"Danish","Ga",371
"Danish","Gaelic",256
"Danish","German",44770
"Danish","Germanic",43037
"Danish","Gothic",19201
"Danish","Greek",5969
"Danish","Hebrew",566
"Danish","Hindi",16
"Danish","Hittite",9109
"Danish","Hungarian",9
"Danish","Icelandic",104
"Danish","Indo-European",2414
"Danish","Iranian",321
"Danish","Irish",7069
"Danish","Italian",1941
"Danish","Japanese",2
"Danish","Korean",19
"Danish","Latin",12618
"Danish","Latvian",64
"Danish","Lithuanian",12238
"Danish","Low German",1097
"Danish","Maori",20
"Danish","Middle Dutch",19159
"Danish","Middle English",18220
"Danish","Middle High German",950
"Danish","Middle Irish",25
"Danish","Modern Greek",51
"Danish","Norwegian",1066
"Danish","Old Church Slavonic",11646
"Danish","Old English",44170
"Danish","Old French",1185
"Danish","Old High German",27521
"Danish","Old Irish",6652
"Danish","Old Norse",37595
"Danish","Old Persian",4524
"Danish","Old Provençal",2
"Danish","Ossetian",10
"Danish","Persian",4559
"Danish","Polish",199
"Danish","Portuguese",108
"Danish","Provençal",2
"Danish","Romance",115
"Danish","Russian",1117
"Danish","Sanskrit",6760
"Danish","Scots",5
"Danish","Slavic",972
"Danish","Slovenian",27
"Danish","Spanish",1822
"Danish","Swedish",19565
"Danish","Welsh",1562
"Danish","Yiddish",273
"Delaware","Dutch",16
"Delaware","Frisian",51
"Delaware","German",51
"Delaware","Germanic",51
"Delaware","Gothic",35
"Delaware","Greek",35
"Delaware","Irish",35
"Delaware","Latin",35
"Delaware","Lithuanian",35
"Delaware","Low German",16
"Delaware","Old Church Slavonic",35
"Delaware","Old English",51
"Delaware","Old High German",51
"Delaware","Old Irish",35
"Delaware","Old Norse",35
"Delaware","Sanskrit",35
"Dravidian","French",1
"Dravidian","German",1
"Dravidian","Greek",1
"Dravidian","Hindi",2
"Dravidian","Latin",1
"Dravidian","Malay",2
"Dravidian","Malayalam",2
"Dravidian","Middle High German",1
"Dravidian","Old French",1
"Dravidian","Portuguese",2
"Dravidian","Sanskrit",1
"Dravidian","Tamil",2
"Dravidian","Telugu",2
"Dutch","Egyptian",27
"Dutch","Fang",6
"Dutch","Finnish",2083
"Dutch","Flemish",612
"Dutch","French",30432
"Dutch","Frisian",160514
"Dutch","Ga",2205
"Dutch","Gaelic",19
"Dutch","Georgian",25
"Dutch","German",185866
"Dutch","Germanic",178012
"Dutch","Gothic",83642
"Dutch","Greek",29082
"Dutch","Hebrew",989
"Dutch","Hittite",11655
"Dutch","Hungarian",10
"Dutch","Icelandic",893
"Dutch","Indo-European",3931
"Dutch","Iranian",598
"Dutch","Irish",18835
"Dutch","Italian",3438
"Dutch","Japanese",2
"Dutch","Korean",19
"Dutch","Kru",7
"Dutch","Lao",46
"Dutch","Latin",56266
"Dutch","Latvian",50
"Dutch","Lithuanian",27206
"Dutch","Low German",5256
"Dutch","Malay",8
"Dutch","Manchu",4
"Dutch","Mandar",8
"Dutch","Mari",837
"Dutch","Middle Dutch",106562
"Dutch","Middle English",104385
"Dutch","Middle High German",3765
"Dutch","Middle Irish",186
"Dutch","Mongo",4
"Dutch","Mongolian",4
"Dutch","North American Indian",1146
"Dutch","Norwegian",1010
"Dutch","Ojibwa",1146
"Dutch","Old Church Slavonic",29872
"Dutch","Old English",184301
"Dutch","Old French",15457
"Dutch","Old High German",125836
"Dutch","Old Irish",17135
"Dutch","Old Norse",123536
"Dutch","Old Persian",7786
"Dutch","Old Provençal",4
"Dutch","Ossetian",10
"Dutch","Persian",8115
"Dutch","Polish",713
"Dutch","Portuguese",525
"Dutch","Provençal",238
"Dutch","Romance",31
"Dutch","Russian",5183
"Dutch","Sanskrit",20112
"Dutch","Scots",646
"Dutch","Slavic",2490
"Dutch","Slovenian",27
"Dutch","Spanish",4048
"Dutch","Swedish",18049
"Dutch","Turkish",71
"Dutch","Twi",40
"Dutch","Walloon",11
"Dutch","Welsh",5374
"Dutch","Yiddish",138
"Egyptian","French",51
"Egyptian","Frisian",26
"Egyptian","Ga",1
"Egyptian","German",29
"Egyptian","Germanic",27
"Egyptian","Gothic",1
"Egyptian","Greek",45
"Egyptian","Hebrew",1
"Egyptian","Italian",10
"Egyptian","Latin",51
"Egyptian","Low German",1
"Egyptian","Middle Dutch",26
"Egyptian","Middle English",31
"Egyptian","Old Church Slavonic",26
"Egyptian","Old English",31
"Egyptian","Old French",23
"Egyptian","Old High German",27
"Egyptian","Old Provençal",2
"Egyptian","Phoenician",1
"Egyptian","Portuguese",10
"Egyptian","Provençal",3
"Egyptian","Semitic",1
"Egyptian","Slavic",26
"Egyptian","Spanish",37
"Estonian","Finnish",2
"Estonian","Frisian",2
"Estonian","German",2
"Estonian","Germanic",2
"Estonian","Gothic",2
"Estonian","Lithuanian",2
"Estonian","Old Church Slavonic",2
"Estonian","Old English",2
"Estonian","Old High German",2
"Estonian","Old Norse",2
"Estonian","Swedish",2
"Fang","Frisian",6
"Fang","German",6
"Fang","Germanic",6
"Fang","Gothic",6
"Fang","Latin",6
"Fang","Middle Dutch",6
"Fang","Middle English",6
"Fang","Old English",6
"Fang","Old Norse",6
"Finnish","French",445
"Finnish","Frisian",1717
"Finnish","Ga",326
"Finnish","German",2085
"Finnish","Germanic",2085
"Finnish","Gothic",1226
"Finnish","Greek",293
"Finnish","Indo-European",292
"Finnish","Iranian",287
"Finnish","Irish",824
"Finnish","Italian",1
"Finnish","Latin",305
"Finnish","Lithuanian",364
"Finnish","Low German",14
"Finnish","Middle Dutch",583
"Finnish","Middle English",1176
"Finnish","Middle High German",362
"Finnish","Old Church Slavonic",1190
"Finnish","Old English",2085
"Finnish","Old High German",1746
"Finnish","Old Irish",824
"Finnish","Old Norse",1099
"Finnish","Romance",1
"Finnish","Russian",362
"Finnish","Sanskrit",5
"Finnish","Slavic",4
"Finnish","Spanish",288
"Finnish","Swedish",1289
"Finnish","Welsh",829
"Flemish","French",100
"Flemish","Frisian",481
"Flemish","Ga",16
"Flemish","German",639
"Flemish","Germanic",540
"Flemish","Gothic",14
"Flemish","Greek",22
"Flemish","Hebrew",24
"Flemish","Indo-European",14
"Flemish","Irish",24
"Flemish","Italian",61
"Flemish","Latin",27
"Flemish","Low German",67
"Flemish","Middle Dutch",572
"Flemish","Middle English",506
"Flemish","Middle High German",33
"Flemish","Norwegian",4
"Flemish","Old Church Slavonic",14
"Flemish","Old English",525
"Flemish","Old French",13
"Flemish","Old High German",506
"Flemish","Old Norse",119
"Flemish","Polish",14
"Flemish","Sanskrit",47
"Flemish","Swedish",11
"Flemish","Twi",33
"Flemish","Walloon",11
"Fon","Middle English",1
"French","Frisian",23459
"French","Ga",1231
"French","Gaelic",45
"French","Georgian",1
"French","German",37366
"French","Germanic",34524
"French","Gothic",5703
"French","Greek",5626
"French","Haitian",2
"French","Hawaiian",8
"French","Hebrew",1066
"French","Hittite",85
"French","Hungarian",10
"French","Icelandic",925
"French","Indo-European",2043
"French","Iranian",294
"French","Irish",704
"French","Italian",9609
"French","Japanese",17
"French","Latin",46839
"French","Latvian",4
"French","Lithuanian",1520
"French","Low German",594
"French","Malay",8
"French","Manchu",4
"French","Mandar",8
"French","Mari",92
"French","Middle Dutch",13595
"French","Middle English",26113
"French","Middle French",3
"French","Middle High German",468
"French","Middle Irish",255
"French","Modern Greek",51
"French","Mongo",4
"French","Mongolian",4
"French","Neapolitan",1
"French","North American Indian",226
"French","Norwegian",514
"French","Occitan",6
"French","Old Church Slavonic",4849
"French","Old English",38896
"French","Old French",42843
"French","Old High German",14404
"French","Old Irish",415
"French","Old Norse",28184
"French","Old Persian",55
"French","Old Provençal",214
"French","Pali",77
"French","Persian",151
"French","Phoenician",3
"French","Polish",136
"French","Portuguese",1927
"French","Provençal",651
"French","Romance",607
"French","Romanian",17
"French","Russian",387
"French","Sanskrit",3891
"French","Scots",651
"French","Semitic",31
"French","Slavic",641
"French","Spanish",9697
"French","Swedish",2265
"French","Syriac",1
"French","Tai",2
"French","Tibetan",6
"French","Turkish",25
"French","Vai",36
"French","Walloon",13
"French","Welsh",473
"Frisian","Ga",2420
"Frisian","Gaelic",62
"Frisian","Georgian",25
"Frisian","German",177747
"Frisian","Germanic",174467
"Frisian","Gothic",85318
"Frisian","Greek",25211
"Frisian","Hebrew",579
"Frisian","Hittite",12316
"Frisian","Hungarian",9
"Frisian","Icelandic",776
"Frisian","Indo-European",4432
"Frisian","Iranian",592
"Frisian","Irish",19128
"Frisian","Italian",1714
"Frisian","Japanese",221
"Frisian","Korean",19
"Frisian","Kru",1
"Frisian","Lao",46
"Frisian","Latin",54646
"Frisian","Latvian",50
"Frisian","Lithuanian",24036
"Frisian","Low German",2647
"Frisian","Maori",20
"Frisian","Mari",825
"Frisian","Middle Dutch",91753
"Frisian","Middle English",99730
"Frisian","Middle High German",3194
"Frisian","Middle Irish",160
"Frisian","North American Indian",1146
"Frisian","Norwegian",414
"Frisian","Ojibwa",1146
"Frisian","Old Church Slavonic",23539
"Frisian","Old English",177946
"Frisian","Old French",13359
"Frisian","Old High German",122763
"Frisian","Old Irish",17472
"Frisian","Old Norse",125159
"Frisian","Old Persian",7767
"Frisian","Persian",7886
"Frisian","Polish",515
"Frisian","Portuguese",1
"Frisian","Romance",31
"Frisian","Romanian",17
"Frisian","Russian",4415
"Frisian","Sanskrit",18150
"Frisian","Scots",646
"Frisian","Slavic",2363
"Frisian","Slovenian",27
"Frisian","Spanish",2155
"Frisian","Swedish",14584
"Frisian","Welsh",4830
"Frisian","Yiddish",136
"Ga","Gaelic",394
"Ga","German",2982
"Ga","Germanic",2941
"Ga","Gothic",897
"Ga","Greek",576
"Ga","Hebrew",26
"Ga","Hindi",16
"Ga","Hungarian",3
"Ga","Icelandic",18
"Ga","Indo-European",23
"Ga","Irish",804
"Ga","Italian",415
"Ga","Japanese",223
"Ga","Latin",1834
"Ga","Lithuanian",41
"Ga","Low German",253
"Ga","Middle Dutch",1431
"Ga","Middle English",1661
"Ga","Middle High German",31
"Ga","Middle Irish",3
"Ga","Norwegian",87
"Ga","Old Church Slavonic",40
"Ga","Old English",3059
"Ga","Old French",1079
"Ga","Old High German",2191
"Ga","Old Irish",745
"Ga","Old Norse",2724
"Ga","Old Provençal",3
"Ga","Polish",3
"Ga","Portuguese",190
"Ga","Provençal",5
"Ga","Romance",68
"Ga","Russian",2
"Ga","Sanskrit",52
"Ga","Slavic",78
"Ga","Spanish",371
"Ga","Swedish",450
"Ga","Walloon",11
"Ga","Welsh",364
"Gaelic","German",345
"Gaelic","Germanic",343
"Gaelic","Gothic",20
"Gaelic","Greek",33
"Gaelic","Hungarian",3
"Gaelic","Icelandic",18
"Gaelic","Irish",290
"Gaelic","Italian",19
"Gaelic","Latin",18
"Gaelic","Lithuanian",3
"Gaelic","Low German",1
"Gaelic","Middle Dutch",15
"Gaelic","Middle English",94
"Gaelic","Middle Irish",2
"Gaelic","Old Church Slavonic",2
"Gaelic","Old English",345
"Gaelic","Old French",42
"Gaelic","Old High German",310
"Gaelic","Old Irish",236
"Gaelic","Old Norse",349
"Gaelic","Polish",3
"Gaelic","Russian",2
"Gaelic","Spanish",22
"Gaelic","Swedish",239
"Gaelic","Welsh",278
"Georgian","German",25
"Georgian","Greek",1
"Georgian","Hebrew",1
"Georgian","Hittite",1
"Georgian","Icelandic",25
"Georgian","Indo-European",1
"Georgian","Latin",1
"Georgian","Low German",25
"Georgian","Middle Dutch",25
"Georgian","Old English",25
"Georgian","Old French",1
"Georgian","Semitic",1
"German","Germanic",240390
"German","Gothic",100893
"German","Greek",51074
"German","Haitian",2
"German","Hebrew",1112
"German","Hindi",16
"German","Hittite",12401
"German","Hungarian",19
"German","Icelandic",1176
"German","Indo-European",5102
"German","Iranian",605
"German","Irish",38362
"German","Italian",5507
"German","Japanese",405
"German","Korean",71
"German","Kru",7
"German","Lao",46
"German","Latin",91134
"German","Latvian",116
"German","Lithuanian",47164
"German","Low German",5847
"German","Malay",8
"German","Manchu",4
"German","Mandar",8
"German","Maori",20
"German","Mari",837
"German","Middle Dutch",106177
"German","Middle English",134972
"German","Middle French",2
"German","Middle High German",7396
"German","Middle Irish",341
"German","Modern Greek",128
"German","Mongo",4
"German","Mongolian",4
"German","Nahuatl",52
"German","North American Indian",1299
"German","Norwegian",1413
"German","Occitan",6
"German","Ojibwa",1146
"German","Old Church Slavonic",50564
"German","Old English",249744
"German","Old French",20376
"German","Old High German",161115
"German","Old Irish",36503
"German","Old Norse",155264
"German","Old Persian",7871
"German","Old Provençal",56
"German","Ossetian",10
"German","Persian",8214
"German","Polish",793
"German","Portuguese",1018
"German","Provençal",331
"German","Romance",193
"German","Romanian",17
"German","Russian",23845
"German","Sanskrit",22729
"German","Scots",659
"German","Semitic",8
"German","Slavic",2780
"German","Slovenian",27
"German","Spanish",5999
"German","Swedish",30150
"German","Tai",2
"German","Turkish",71
"German","Twi",49
"German","Walloon",11
